customer_id,total_revenue,avg_monthly_revenue,months_active,churned,contract,engagement_score,segment,segment_name
0122-OAHPZ,516.9499999999999,73.85,7,1,Month-to-month,High,1,At-Risk Loyalists
0123-CRBRT,5374.099999999999,88.1,61,0,Two year,High,3,New & Unstable
0125-LZQXK,1520.25,101.35,15,1,Month-to-month,High,1,At-Risk Loyalists
0128-MKWSG,1190.8,45.8,26,0,Month-to-month,Medium,0,Champions
0129-KPTWJ,6814.8,94.65,72,0,Month-to-month,High,3,New & Unstable
0129-QMPDR,902.0,20.5,44,0,One year,Low,2,Price-Sensitive
0130-SXOUN,5900.400000000001,89.4,66,0,Month-to-month,High,3,New & Unstable
0133-BMFZO,172.5,86.25,2,1,Month-to-month,High,1,At-Risk Loyalists
0134-XWXCE,3293.3999999999996,74.85,44,0,One year,High,3,New & Unstable
0135-NMXAP,1077.0,89.75,12,1,Month-to-month,High,1,At-Risk Loyalists
0136-IFMYD,7586.55,109.95,69,0,Two year,High,3,New & Unstable
0137-OCGAB,80.2,80.2,1,1,Month-to-month,High,1,At-Risk Loyalists
0137-UDEUO,59.550000000000004,19.85,3,1,Month-to-month,Low,0,Champions
0139-IVFJG,180.7,90.35,2,0,Month-to-month,High,1,At-Risk Loyalists
0141-YEAYS,2334.15,86.45,27,0,Month-to-month,High,1,At-Risk Loyalists
0142-GVYSN,527.8000000000001,20.300000000000004,26,0,Month-to-month,Low,0,Champions
0147-ESWWR,3948.75,101.25,39,0,Month-to-month,High,3,New & Unstable
0148-DCDOS,2367.5,94.7,25,1,Month-to-month,High,1,At-Risk Loyalists
0151-ONTOV,70.9,70.9,1,1,Month-to-month,High,1,At-Risk Loyalists
0156-FVPTA,1192.4,54.2,22,1,Month-to-month,Medium,1,At-Risk Loyalists
0164-APGRB,8272.800000000001,114.90000000000002,72,0,Two year,High,3,New & Unstable
0164-XAIRP,469.20000000000005,19.55,24,0,Two year,Low,0,Champions
0168-XZKBB,1650.1499999999999,86.85,19,0,Month-to-month,High,1,At-Risk Loyalists
0174-QRVVY,1799.8500000000001,25.35,71,0,Two year,Low,2,Price-Sensitive
0177-PXBAT,3626.7000000000003,109.9,33,0,Month-to-month,High,3,New & Unstable
0178-CIIKR,59.849999999999994,19.95,3,0,Month-to-month,Low,0,Champions
0178-SZBHO,4098.400000000001,87.20000000000002,47,0,Month-to-month,High,3,New & Unstable
0181-RITDD,6705.3,108.15,62,0,Two year,High,3,New & Unstable
0186-CAERR,8257.3,116.29999999999998,71,0,One year,High,3,New & Unstable
0187-QSXOE,623.0,89.0,7,0,Month-to-month,High,1,At-Risk Loyalists
0187-WZNAB,2008.8000000000002,74.4,27,0,Month-to-month,High,1,At-Risk Loyalists
0188-GWFLE,40.1,20.05,2,0,Month-to-month,Low,0,Champions
0191-EQUUH,876.2499999999999,35.05,25,0,Two year,Low,0,Champions
0191-ZHSKZ,2242.5,74.75,30,0,Month-to-month,High,1,At-Risk Loyalists
0193-ESZXP,6119.0,105.5,58,1,One year,High,3,New & Unstable
0195-IESCP,852.5,85.25,10,1,Month-to-month,High,1,At-Risk Loyalists
0196-JTUQI,676.8000000000001,75.2,9,0,Month-to-month,High,1,At-Risk Loyalists
0196-VULGZ,506.09999999999997,84.35,6,1,Month-to-month,High,1,At-Risk Loyalists
0197-PNKNK,5827.05,84.45,69,0,One year,High,3,New & Unstable
0201-MIBOL,6758.400000000001,102.4,66,0,Two year,High,3,New & Unstable
0201-OAMXR,8088.5,115.55,70,1,One year,High,3,New & Unstable
0203-HHYIJ,632.5,25.3,25,1,One year,Low,0,Champions
0206-OYVOC,885.5,19.25,46,0,Two year,Low,2,Price-Sensitive
0206-TBWLC,6191.1,114.65,54,0,One year,High,3,New & Unstable
0207-MDKNV,1576.5,105.1,15,1,Month-to-month,High,1,At-Risk Loyalists
0208-BPQEJ,232.79999999999998,19.4,12,0,Month-to-month,Low,0,Champions
0212-ISBBF,1107.7,50.35,22,0,Month-to-month,Medium,0,Champions
0214-JHPFW,4046.0,57.8,70,0,Two year,Medium,3,New & Unstable
0215-BQKGS,2529.0,84.3,30,0,Month-to-month,High,1,At-Risk Loyalists
0218-QNVAS,7139.05,100.55,71,0,One year,High,3,New & Unstable
0219-QAERP,594.0,19.8,30,0,One year,Low,0,Champions
0219-YTZUE,339.2,84.8,4,1,Month-to-month,High,1,At-Risk Loyalists
0220-EBGCE,171.7,85.85,2,1,Month-to-month,High,1,At-Risk Loyalists
0221-NAUXK,199.5,19.95,10,0,One year,Low,0,Champions
0221-WMXNQ,301.4,75.35,4,0,Month-to-month,High,1,At-Risk Loyalists
0222-CNVPT,2537.6,48.8,52,0,Month-to-month,Medium,2,Price-Sensitive
0224-HJAPT,235.75,47.15,5,1,Month-to-month,Medium,0,Champions
0224-NIJLP,161.2,20.15,8,0,Two year,Low,0,Champions
0224-RLWWD,88.6,44.3,2,0,Month-to-month,Medium,0,Champions
0225-ZORZP,252.89999999999998,84.3,3,0,Month-to-month,High,1,At-Risk Loyalists
0228-MAUWC,1131.45,59.550000000000004,19,0,Month-to-month,Medium,1,At-Risk Loyalists
0229-LFJAF,5014.8,69.65,72,0,Two year,Medium,3,New & Unstable
0230-UBYPQ,2274.3,36.1,63,0,One year,Low,2,Price-Sensitive
0230-WEQUW,3735.6,56.6,66,0,Two year,Medium,2,Price-Sensitive
0231-LXVAP,75.9,75.9,1,1,Month-to-month,High,1,At-Risk Loyalists
0233-FTHAV,4752.0,79.2,60,0,One year,High,3,New & Unstable
0234-TEVTT,2160.0,45.0,48,0,One year,Medium,2,Price-Sensitive
0235-KGSLC,85.55,85.55,1,1,Month-to-month,High,1,At-Risk Loyalists
0236-HFWSV,1400.25,93.35,15,1,Month-to-month,High,1,At-Risk Loyalists
0237-YFUTL,5482.5,109.65,50,0,Month-to-month,High,3,New & Unstable
0238-WHBIQ,6458.400000000001,89.7,72,0,Two year,High,3,New & Unstable
0239-OXEXL,3875.5,84.25,46,0,Month-to-month,High,3,New & Unstable
0244-LGNFY,6670.8,92.65,72,0,Two year,High,3,New & Unstable
0247-SLUJI,19.7,19.7,1,0,Month-to-month,Low,0,Champions
0248-IPDFW,50.1,50.1,1,0,Month-to-month,Medium,0,Champions
0248-PGHBZ,6194.150000000001,92.45,67,0,Two year,High,3,New & Unstable
0253-ZTEOB,3823.2000000000003,79.65,48,0,Two year,High,3,New & Unstable
0254-FNMCI,7912.8,109.9,72,0,Two year,High,3,New & Unstable
0254-KCJGT,4232.8,81.4,52,0,One year,High,3,New & Unstable
0254-WWRKD,3386.85,50.55,67,0,One year,Medium,2,Price-Sensitive
0256-LTHVJ,2269.4,81.05,28,1,Month-to-month,High,1,At-Risk Loyalists
0257-KXZGU,1998.4,62.45,32,0,Month-to-month,Medium,1,At-Risk Loyalists
0257-ZESQC,2030.4,75.2,27,1,Month-to-month,High,1,At-Risk Loyalists
0258-NOKBL,271.20000000000005,90.40000000000002,3,0,Month-to-month,High,1,At-Risk Loyalists
0259-GBZSH,171.3,85.65,2,1,Month-to-month,High,1,At-Risk Loyalists
0260-ZDLGK,656.1,72.9,9,1,Month-to-month,High,1,At-Risk Loyalists
0263-FJTQO,3525.0,70.5,50,0,Two year,High,3,New & Unstable
0264-CNITK,1427.1000000000001,20.1,71,0,Two year,Low,2,Price-Sensitive
0265-EDXBD,2396.8,74.9,32,1,Month-to-month,High,1,At-Risk Loyalists
0265-PSUAE,1611.2,100.7,16,0,Month-to-month,High,1,At-Risk Loyalists
0266-CLZKZ,7078.55,105.65,67,0,Two year,High,3,New & Unstable
0266-GMEAO,8229.6,114.30000000000001,72,0,Two year,High,3,New & Unstable
0268-QKIWO,59.25,19.75,3,1,Month-to-month,Low,0,Champions
0269-XFESX,560.0500000000001,24.35,23,0,One year,Low,0,Champions
0270-THENM,5029.2,69.85,72,0,Two year,Medium,3,New & Unstable
0274-JKUJR,411.95,58.85,7,0,Month-to-month,Medium,1,At-Risk Loyalists
0277-BKSQP,435.2,54.4,8,0,Month-to-month,Medium,0,Champions
0277-ORXQS,3336.2999999999997,50.55,66,0,Two year,Medium,2,Price-Sensitive
0278-YXOOG,105.25,21.05,5,1,Month-to-month,Low,0,Champions
0280-XJGEX,5081.3,103.7,49,1,Month-to-month,High,3,New & Unstable
0281-CNTZX,1256.85,19.95,63,0,Two year,Low,2,Price-Sensitive
0282-NVSJS,351.6,29.3,12,0,Month-to-month,Low,0,Champions
0285-INHLN,1478.25,54.75,27,0,Month-to-month,Medium,1,At-Risk Loyalists
0289-IVARM,2119.25,60.55,35,0,Month-to-month,Medium,1,At-Risk Loyalists
0292-WEGCH,4654.8,86.2,54,0,Month-to-month,High,3,New & Unstable
0295-PPHDO,95.45,95.45,1,1,Month-to-month,High,1,At-Risk Loyalists
0295-QVKPB,319.75,63.95,5,0,Month-to-month,Medium,1,At-Risk Loyalists
0297-RBCSG,1241.6499999999999,65.35,19,0,One year,Medium,1,At-Risk Loyalists
0298-XACET,2610.4,50.2,52,0,Two year,Medium,2,Price-Sensitive
0301-FIDRB,4593.599999999999,63.79999999999999,72,0,Two year,Medium,3,New & Unstable
0301-KOBTQ,641.6,20.05,32,0,Two year,Low,0,Champions
0302-JOIVN,809.2,101.15,8,1,Month-to-month,High,1,At-Risk Loyalists
0303-UNCIP,2665.0,65.0,41,0,One year,Medium,2,Price-Sensitive
0303-WMMRN,96.25,19.25,5,0,Month-to-month,Low,0,Champions
0305-SQECB,396.54999999999995,36.05,11,0,One year,Low,0,Champions
0306-JAELE,480.5,96.1,5,1,Month-to-month,High,1,At-Risk Loyalists
0307-BCOPK,304.8,19.05,16,0,One year,Low,0,Champions
0308-GIQJT,7508.25,105.75,71,0,One year,High,3,New & Unstable
0308-IVGOK,444.4,40.4,11,0,One year,Medium,0,Champions
0310-MVLET,6048.150000000001,99.15,61,1,Month-to-month,High,3,New & Unstable
0310-SUCIN,6020.8,84.8,71,0,One year,High,3,New & Unstable
0310-VQXAM,178.65,19.85,9,0,Month-to-month,Low,0,Champions
0311-QYWSS,296.70000000000005,49.45000000000001,6,0,Month-to-month,Medium,0,Champions
0311-UNPFF,2308.7999999999997,88.79999999999998,26,1,Month-to-month,High,1,At-Risk Loyalists
0314-TKOSI,330.9,55.15,6,0,Month-to-month,Medium,0,Champions
0315-LVCRK,932.8,84.8,11,0,Month-to-month,High,1,At-Risk Loyalists
0318-QUUOB,80.55,80.55,1,1,Month-to-month,High,1,At-Risk Loyalists
0318-ZOPWS,987.3499999999999,20.15,49,0,Two year,Low,2,Price-Sensitive
0319-QZTCO,176.10000000000002,58.70000000000001,3,0,Month-to-month,Medium,0,Champions
0320-DWVTU,5273.5,99.5,53,0,Two year,High,3,New & Unstable
0320-JDNQG,2296.5499999999997,99.85,23,1,Month-to-month,High,1,At-Risk Loyalists
0322-CHQRU,90.7,45.35,2,1,Month-to-month,Medium,0,Champions
0322-YINQP,48.55,48.55,1,1,Month-to-month,Medium,0,Champions
0323-XWWTN,79.19999999999999,26.399999999999995,3,0,Two year,Low,0,Champions
0324-BRPCJ,6813.6,100.2,68,1,Month-to-month,High,3,New & Unstable
0325-XBFAC,757.6,94.7,8,1,Month-to-month,High,1,At-Risk Loyalists
0326-VDYXE,6835.5,97.65,70,0,One year,High,3,New & Unstable
0327-WFZSY,3900.0,100.0,39,0,One year,High,3,New & Unstable
0328-GRPMV,70.1,70.1,1,1,Month-to-month,High,1,At-Risk Loyalists
0329-GTIAJ,293.70000000000005,97.90000000000002,3,1,Month-to-month,High,1,At-Risk Loyalists
0330-BGYZE,6150.0,102.5,60,0,One year,High,3,New & Unstable
0330-IVZHA,349.75,69.95,5,1,Month-to-month,Medium,1,At-Risk Loyalists
0334-GDDSO,244.04999999999998,81.35,3,1,Month-to-month,High,1,At-Risk Loyalists
0334-ZFJSR,3632.75,66.05,55,0,One year,Medium,3,New & Unstable
0336-KXKFK,4406.400000000001,61.20000000000001,72,0,Two year,Medium,3,New & Unstable
0336-PIKEI,5356.8,74.4,72,0,Two year,High,3,New & Unstable
0337-CNPZE,4358.3,106.30000000000001,41,1,Month-to-month,High,3,New & Unstable
0343-QLUZP,2376.0,39.6,60,0,Two year,Low,2,Price-Sensitive
0345-HKJVM,535.8,89.3,6,1,Month-to-month,High,1,At-Risk Loyalists
0345-XMMUG,5009.400000000001,108.9,46,0,Two year,High,3,New & Unstable
0347-UBKUZ,298.5,19.9,15,0,Month-to-month,Low,0,Champions
0348-SDKOL,5921.799999999999,102.1,58,1,Month-to-month,High,3,New & Unstable
0354-VXMJC,450.8,19.6,23,0,Two year,Low,0,Champions
0354-WYROK,3065.9,98.9,31,1,Month-to-month,High,1,At-Risk Loyalists
0356-ERHVT,504.9,45.9,11,0,Month-to-month,Medium,0,Champions
0356-OBMAC,5594.400000000001,99.9,56,0,Two year,High,3,New & Unstable
0357-NVCRI,501.25,20.05,25,0,Month-to-month,Low,0,Champions
0361-HJRDX,4375.799999999999,64.35,68,0,Two year,Medium,3,New & Unstable
0362-RAOQO,786.0,19.65,40,0,Two year,Low,2,Price-Sensitive
0362-ZBZWJ,3056.4,84.9,36,1,Month-to-month,High,1,At-Risk Loyalists
0363-QJVFX,3460.8,108.15,32,1,Month-to-month,High,1,At-Risk Loyalists
0363-SVHYR,6166.349999999999,86.85,71,0,Two year,High,3,New & Unstable
0365-BZUWY,1743.35,102.55,17,0,Month-to-month,High,1,At-Risk Loyalists
0365-GXEZS,1407.6000000000001,78.2,18,0,Month-to-month,High,1,At-Risk Loyalists
0365-TRTPY,3374.4,91.2,37,0,Month-to-month,High,1,At-Risk Loyalists
0366-NQSHS,38.7,19.35,2,0,Month-to-month,Low,0,Champions
0369-ZGOVK,1971.2000000000003,70.4,28,0,One year,High,1,At-Risk Loyalists
0373-AIVNJ,355.95,39.55,9,0,One year,Low,0,Champions
0374-AACSZ,50.15,50.15,1,0,Month-to-month,Medium,0,Champions
0374-FIUCA,1326.0,20.4,65,0,Two year,Low,2,Price-Sensitive
0374-IOEGQ,133.8,44.6,3,0,Month-to-month,Medium,0,Champions
0375-HVGXO,34.7,34.7,1,1,Month-to-month,Low,0,Champions
0376-OIWME,3369.6,93.6,36,0,Month-to-month,High,1,At-Risk Loyalists
0376-YMCJC,2083.7999999999997,90.6,23,1,Month-to-month,High,1,At-Risk Loyalists
0377-JBKKT,1274.9,57.95,22,0,Month-to-month,Medium,1,At-Risk Loyalists
0378-CJKPV,8071.2,112.1,72,0,Two year,High,3,New & Unstable
0378-NHQXU,1500.25,88.25,17,1,Month-to-month,High,1,At-Risk Loyalists
0378-TOVMS,257.4,85.8,3,1,Month-to-month,High,1,At-Risk Loyalists
0378-XSZPU,3497.3999999999996,60.3,58,1,One year,Medium,2,Price-Sensitive
0379-DJQHR,5450.45,81.35,67,0,Two year,High,3,New & Unstable
0380-NEAVX,3394.8999999999996,99.85,34,0,One year,High,1,At-Risk Loyalists
0380-ZCSBI,200.0,20.0,10,0,Month-to-month,Low,0,Champions
0383-CLDDA,5889.15,85.35,69,0,Two year,High,3,New & Unstable
0384-LPITE,2482.0,62.05,40,0,One year,Medium,2,Price-Sensitive
0384-RVBPI,1288.0,64.4,20,0,Month-to-month,Medium,1,At-Risk Loyalists
0386-CWRGM,892.4,19.4,46,0,Two year,Low,2,Price-Sensitive
0388-EOPEX,148.8,74.4,2,1,Month-to-month,High,1,At-Risk Loyalists
0390-DCFDQ,70.45,70.45,1,1,Month-to-month,High,1,At-Risk Loyalists
0392-BZIUW,7560.0,105.0,72,0,Two year,High,3,New & Unstable
0394-YONDK,1760.5,25.15,70,0,Two year,Low,2,Price-Sensitive
0396-HUJBP,38.6,19.3,2,0,Month-to-month,Low,0,Champions
0396-UKGAI,1271.8999999999999,55.3,23,0,Month-to-month,Medium,1,At-Risk Loyalists
0396-YCHWO,3434.4,95.4,36,0,Month-to-month,High,3,New & Unstable
0397-GZBBC,5537.15,93.85,59,1,Month-to-month,High,3,New & Unstable
0397-ZXWQF,1373.5,20.5,67,0,Two year,Low,2,Price-Sensitive
0401-WDBXM,7599.599999999999,105.55,72,0,Two year,High,3,New & Unstable
0402-CQAJN,3770.3,101.9,37,1,Month-to-month,High,3,New & Unstable
0402-OAMEN,1760.3999999999999,24.45,72,0,Two year,Low,2,Price-Sensitive
0404-AHASP,1418.3999999999999,19.7,72,0,Two year,Low,2,Price-Sensitive
0404-SWRVG,223.20000000000002,74.4,3,1,Month-to-month,High,1,At-Risk Loyalists
0406-BPDVR,5481.0,101.5,54,1,One year,High,3,New & Unstable
0407-BDJKB,5745.0,95.75,60,1,Month-to-month,High,3,New & Unstable
0409-WTMPL,6417.700000000001,110.65,58,0,One year,High,3,New & Unstable
0410-IPFTY,2599.35,83.85,31,0,Month-to-month,High,1,At-Risk Loyalists
0411-EZJZE,180.75,60.25,3,0,Month-to-month,Medium,1,At-Risk Loyalists
0412-UCCNP,3256.0,59.2,55,0,Two year,Medium,2,Price-Sensitive
0415-MOSGF,44.4,44.4,1,1,Month-to-month,Medium,0,Champions
0419-YAAPX,4179.7,85.3,49,0,Month-to-month,High,3,New & Unstable
0420-BWTPW,204.0,25.5,8,1,Month-to-month,Low,0,Champions
0420-HLGXF,3890.25,99.75,39,0,Month-to-month,High,3,New & Unstable
0420-TXVSG,4362.599999999999,66.1,66,0,Two year,Medium,3,New & Unstable
0422-OHQHQ,308.25,20.55,15,0,One year,Low,0,Champions
0422-UXFAP,5041.349999999999,98.85,51,0,One year,High,3,New & Unstable
0423-UDIJQ,442.8,49.2,9,0,Month-to-month,Medium,0,Champions
0426-TIRNE,20.9,20.9,1,1,Month-to-month,Low,0,Champions
0428-AXXLJ,487.5,19.5,25,0,One year,Low,0,Champions
0428-IKYCP,1914.0,87.0,22,0,Month-to-month,High,1,At-Risk Loyalists
0430-IHCDJ,735.0,49.0,15,0,Month-to-month,Medium,0,Champions
0431-APWVY,2522.7999999999997,90.1,28,1,One year,High,1,At-Risk Loyalists
0432-CAJZV,272.1,90.7,3,0,Month-to-month,High,1,At-Risk Loyalists
0434-CSFON,4723.5,100.5,47,0,Month-to-month,High,3,New & Unstable
0436-TWFFZ,5711.75,85.25,67,0,Two year,High,3,New & Unstable
0439-IFYUN,1344.6000000000001,74.7,18,0,Month-to-month,High,1,At-Risk Loyalists
0440-EKDCF,3729.2999999999997,60.15,62,0,Two year,Medium,2,Price-Sensitive
0440-MOGPM,3302.5499999999997,80.55,41,0,One year,High,3,New & Unstable
0440-QEXBZ,2206.6,50.15,44,0,Month-to-month,Medium,2,Price-Sensitive
0440-UEDAI,5005.85,94.45,53,0,One year,High,3,New & Unstable
0442-TDYUO,962.4000000000001,20.05,48,0,Two year,Low,2,Price-Sensitive
0442-ZXKVS,6242.4,115.6,54,0,One year,High,3,New & Unstable
0447-BEMNG,2174.3999999999996,45.29999999999999,48,1,Month-to-month,Medium,2,Price-Sensitive
0447-RXSGD,2391.6000000000004,99.65000000000002,24,0,Month-to-month,High,1,At-Risk Loyalists
0454-OKRCT,2659.7999999999997,80.6,33,0,Two year,High,1,At-Risk Loyalists
0455-ENTCR,5626.5,85.25,66,0,Two year,High,3,New & Unstable
0455-XFASS,208.64999999999998,69.55,3,0,Month-to-month,Medium,1,At-Risk Loyalists
0458-HEUZG,460.2,35.4,13,0,Two year,Low,0,Champions
0459-SPZHJ,5260.5,83.5,63,0,Two year,High,3,New & Unstable
0461-CVKMU,1927.3999999999999,83.8,23,1,Month-to-month,High,1,At-Risk Loyalists
0463-TXOAK,1331.2,25.6,52,0,Two year,Low,2,Price-Sensitive
0463-WZZKO,62.25,20.75,3,0,Month-to-month,Low,0,Champions
0463-ZSDNT,567.5,56.75,10,0,Month-to-month,Medium,0,Champions
0464-WJTKO,1447.2,20.1,72,0,Two year,Low,2,Price-Sensitive
0468-YRPXN,2865.2,98.8,29,0,Month-to-month,High,1,At-Risk Loyalists
0471-ARVMX,6500.7,104.85,62,0,One year,High,3,New & Unstable
0471-LVHGK,2993.0,73.0,41,1,One year,High,1,At-Risk Loyalists
0475-RIJEP,3347.5499999999997,77.85,43,1,Month-to-month,High,3,New & Unstable
0479-HMSWA,2741.7000000000003,105.45000000000002,26,0,Two year,High,1,At-Risk Loyalists
0480-BIXDE,1839.2,96.8,19,0,Month-to-month,High,1,At-Risk Loyalists
0480-KYJVA,1746.0,24.25,72,0,Two year,Low,2,Price-Sensitive
0481-SUMCB,4596.75,102.15,45,0,One year,High,3,New & Unstable
0484-FFVBJ,2075.2,64.85,32,0,One year,Medium,1,At-Risk Loyalists
0484-JPBRU,1035.25,25.25,41,0,Month-to-month,Low,2,Price-Sensitive
0485-ZBSLN,1608.75,24.75,65,0,Two year,Low,2,Price-Sensitive
0486-HECZI,5321.25,96.75,55,1,Month-to-month,High,3,New & Unstable
0486-LGCCH,216.14999999999998,19.65,11,0,Two year,Low,0,Champions
0487-CRLZF,3648.05,74.45,49,0,Two year,High,3,New & Unstable
0487-RPVUM,6063.400000000001,99.4,61,0,Month-to-month,High,3,New & Unstable
0487-VVUVK,478.74999999999994,19.15,25,0,Month-to-month,Low,0,Champions
0488-GSLFR,69.5,69.5,1,1,Month-to-month,Medium,1,At-Risk Loyalists
0489-WMEMG,1137.3500000000001,49.45,23,0,One year,Medium,0,Champions
0491-KAPQG,1547.7,73.7,21,0,Month-to-month,High,1,At-Risk Loyalists
0495-RVCBF,79.7,79.7,1,1,Month-to-month,High,1,At-Risk Loyalists
0495-ZBNGW,399.5,79.9,5,1,Month-to-month,High,1,At-Risk Loyalists
0496-AHOOK,1785.6000000000001,74.4,24,0,One year,High,1,At-Risk Loyalists
0504-HHAPI,2384.1,88.3,27,1,Month-to-month,High,1,At-Risk Loyalists
